linha1
linha2
linha3
b|v|sv|z|sz|m|sm|nd|snd|sd|ssd|nc|snc|sc|ssc|mu|c|f|Q|N|S1|S2
  0.20000000000000001      |  0.98188750000000002      |   9.0791334422675430E-004 |   2.3437499999999998E-006 |   1.6406249999999999E-005 |   1.8110156250000002E-002 |   9.0843251471370322E-004 |  0.65010703125000002      |   3.9518495502946565E-003 |   6.0846874999999995E-002 |   2.7211896381683872E-003 |  0.60029843750000000      |   3.5823763635548273E-003 |   7.4382031249999994E-002 |   2.8734465274803810E-003 |  0.80000001192092896      |  0.10000000149011612      |  0.10000000149011612      |         500 |         256 |         100 |          50
  0.22000000000000000      |  0.98208593750000006      |   9.5501221973530036E-004 |   6.0937500000000004E-005 |   1.0369162514398162E-004 |   1.7853125000000004E-002 |   9.5781887232790548E-004 |  0.64928984374999998      |   3.4997880272027281E-003 |   6.1353125000000008E-002 |   2.8767059306989912E-003 |  0.59998046875000000      |   3.7521335890032754E-003 |   7.4598437500000003E-002 |   3.5952021522614006E-003 |  0.80000001192092896      |  0.10000000149011612      |  0.10000000149011612      |         500 |         256 |         100 |          50
  0.23999999999999999      |  0.98175781250000016      |   8.6426167460295093E-004 |   4.2578125000000000E-004 |   3.5786452269198540E-004 |   1.7816406250000000E-002 |   7.7238130219248733E-004 |  0.64981484375000009      |   4.2098706469745435E-003 |   5.9089843750000003E-002 |   2.8240782727857088E-003 |  0.60079765625000003      |   3.8653174929478987E-003 |   7.2451562499999997E-002 |   4.0007366265086101E-003 |  0.80000001192092896      |  0.10000000149011612      |  0.10000000149011612      |         500 |         256 |         100 |          50
  0.26000000000000001      |  0.98099296875000019      |   1.1817317242775736E-003 |   1.1390625000000001E-003 |   6.3662815689871112E-004 |   1.7867968750000005E-002 |   9.6128963314344679E-004 |  0.65073359374999995      |   4.1263927720916619E-003 |   5.8892968750000010E-002 |   2.8852315604170429E-003 |  0.60137031250000006      |   4.2704931584544512E-003 |   7.3585156250000006E-002 |   3.6762713873538448E-003 |  0.80000001192092896      |  0.10000000149011612      |  0.10000000149011612      |         500 |         256 |         100 |          50
  0.28000000000000003      |  0.97933828125000011      |   1.3281573985019035E-003 |   3.3335937500000002E-003 |   1.0634936185787917E-003 |   1.7328125000000000E-002 |   1.0185055304832665E-003 |  0.65068750000000009      |   3.8521725556414895E-003 |   5.8284374999999999E-002 |   2.2154167303382218E-003 |  0.60129218749999991      |   3.7678598140224065E-003 |   7.4506249999999996E-002 |   3.2403869247167073E-003 |  0.80000001192092896      |  0.10000000149011612      |  0.10000000149011612      |         500 |         256 |         100 |          50
  0.29999999999999999      |  0.97678828125000028      |   2.0326961498697530E-003 |   6.0250000000000008E-003 |   1.6276750817884387E-003 |   1.7186718749999996E-002 |   9.0437879286091338E-004 |  0.65081250000000013      |   3.7173464394351513E-003 |   5.5764843750000001E-002 |   2.4670693695990928E-003 |  0.60024531250000002      |   3.5165019739525952E-003 |   7.4147656249999999E-002 |   3.7360718719300040E-003 |  0.80000001192092896      |  0.10000000149011612      |  0.10000000149011612      |         500 |         256 |         100 |          50
  0.32000000000000001      |  0.97317812500000000      |   2.5018396551650221E-003 |   9.9445312500000011E-003 |   2.2617030979596576E-003 |   1.6877343749999999E-002 |   8.5821690433293880E-004 |  0.65358749999999988      |   3.4457585453895332E-003 |   5.3167187499999997E-002 |   2.0632521119203421E-003 |  0.60160625000000001      |   3.9274552556529839E-003 |   7.4164062500000003E-002 |   4.0278040625638997E-003 |  0.80000001192092896      |  0.10000000149011612      |  0.10000000149011612      |         500 |         256 |         100 |          50
  0.34000000000000002      |  0.96793046874999988      |   2.3907972007016433E-003 |   1.5364062500000003E-002 |   2.3327141221721214E-003 |   1.6705468750000001E-002 |   8.2014916528660336E-004 |  0.65545390625000000      |   3.2009795596975575E-003 |   5.0384375000000009E-002 |   2.1683362582649054E-003 |  0.60130937500000015      |   4.1882741821662010E-003 |   7.3639062499999991E-002 |   4.5063388514125302E-003 |  0.80000001192092896      |  0.10000000149011612      |  0.10000000149011612      |         500 |         256 |         100 |          50
  0.35999999999999999      |  0.96131562500000001      |   2.7491613600503255E-003 |   2.2342187500000003E-002 |   2.7123325841192487E-003 |   1.6342187500000001E-002 |   9.2569916566479621E-004 |  0.65703828125000008      |   3.3640473503200523E-003 |   4.7947656250000005E-002 |   1.7642972399730618E-003 |  0.60038046874999995      |   3.7341201044023211E-003 |   7.4275781250000006E-002 |   3.2024218931061086E-003 |  0.80000001192092896      |  0.10000000149011612      |  0.10000000149011612      |         500 |         256 |         100 |          50
  0.38000000000000000      |  0.95606328124999973      |   3.2966462635402741E-003 |   2.7934375000000001E-002 |   3.1252992044262734E-003 |   1.6002343749999998E-002 |   1.0600733432947283E-003 |  0.65895781249999996      |   3.4920340430489062E-003 |   4.5950781250000010E-002 |   1.6938287357737242E-003 |  0.60128359375000007      |   3.8841720613972635E-003 |   7.3447656250000007E-002 |   3.4138283851365553E-003 |  0.80000001192092896      |  0.10000000149011612      |  0.10000000149011612      |         500 |         256 |         100 |          50
  0.40000000000000002      |  0.94909921875000014      |   3.5990824059805924E-003 |   3.5064062500000007E-002 |   3.4682375747632976E-003 |   1.5836718749999999E-002 |   9.1995596075386261E-004 |  0.66107187499999998      |   3.2746973261852689E-003 |   4.3846875000000000E-002 |   1.3994462144117045E-003 |  0.60093828125000004      |   3.9651534669671376E-003 |   7.2860937500000000E-002 |   3.6998482337962184E-003 |  0.80000001192092896      |  0.10000000149011612      |  0.10000000149011612      |         500 |         256 |         100 |          50
  0.41999999999999998      |  0.94113124999999997      |   4.2057667696977297E-003 |   4.3435937500000001E-002 |   4.0286371134898094E-003 |   1.5432812500000000E-002 |   8.8208072547244789E-004 |  0.66242656250000009      |   2.6269482167705048E-003 |   4.3178124999999998E-002 |   9.6710293450981769E-004 |  0.60090390625000001      |   3.6074637289464271E-003 |   7.3993749999999997E-002 |   4.0363231160147469E-003 |  0.80000001192092896      |  0.10000000149011612      |  0.10000000149011612      |         500 |         256 |         100 |          50
  0.44000000000000000      |  0.93501640624999993      |   3.7317761125369663E-003 |   5.0023437499999997E-002 |   3.8363352645094445E-003 |   1.4960156250000000E-002 |   8.4231975132758382E-004 |  0.66460390624999999      |   2.7566947318712195E-003 |   4.1980468750000000E-002 |   1.2322036380663967E-003 |  0.60171406250000004      |   3.1611641818126185E-003 |   7.4417187500000023E-002 |   3.6051859484160110E-003 |  0.80000001192092896      |  0.10000000149011612      |  0.10000000149011612      |         500 |         256 |         100 |          50
  0.46000000000000002      |  0.92828437500000005      |   4.5422337243949968E-003 |   5.7215625000000013E-002 |   4.4071436372170245E-003 |   1.4499999999999999E-002 |   7.8766894269182027E-004 |  0.66506328125000014      |   3.0440380422292802E-003 |   4.1342187499999995E-002 |   1.0322781333203031E-003 |  0.60150312500000003      |   3.9570465973295665E-003 |   7.2759375000000001E-002 |   3.6875145656491992E-003 |  0.80000001192092896      |  0.10000000149011612      |  0.10000000149011612      |         500 |         256 |         100 |          50
  0.47999999999999998      |  0.91986796874999999      |   4.1662231290621977E-003 |   6.5929687500000014E-002 |   4.0423554033547394E-003 |   1.4202343749999997E-002 |   9.0594990990551614E-004 |  0.66623671874999990      |   3.5667858163296422E-003 |   4.0749999999999995E-002 |   1.4046431792229294E-003 |  0.60074843749999995      |   4.6461940489636276E-003 |   7.4751562500000021E-002 |   3.5761095579291895E-003 |  0.80000001192092896      |  0.10000000149011612      |  0.10000000149011612      |         500 |         256 |         100 |          50
  0.50000000000000000      |  0.91318671874999979      |   3.9011301603920278E-003 |   7.2841406249999990E-002 |   3.8585589502885100E-003 |   1.3971874999999998E-002 |   8.0326178309907148E-004 |  0.66779375000000019      |   3.4004864512991069E-003 |   4.0800000000000003E-002 |   1.6959107527373014E-003 |  0.60119843750000002      |   3.8631405592430604E-003 |   7.4842187500000004E-002 |   3.8044224753691265E-003 |  0.80000001192092896      |  0.10000000149011612      |  0.10000000149011612      |         500 |         256 |         100 |          50
